"gameorder","game_id","lg_id","_iscopy","year_id","date_game","seasongame","is_playoffs","team_id","fran_id","pts","elo_i","elo_n","win_equiv","opp_id","opp_fran","opp_pts","opp_elo_i","opp_elo_n","game_location","game_result","forecast"
1,21500001,"NBA",0,2015,2015-10-27,1,0,"ATL",NA,94,NA,NA,NA,"DET",NA,106,NA,NA,"H","L",NA
1,21500001,"NBA",1,2015,2015-10-27,1,0,"DET",NA,106,NA,NA,NA,"ATL",NA,94,NA,NA,"A","W",NA
2,21500002,"NBA",0,2015,2015-10-27,1,0,"CHI",NA,97,NA,NA,NA,"CLE",NA,95,NA,NA,"H","W",NA
2,21500002,"NBA",1,2015,2015-10-27,1,0,"CLE",NA,95,NA,NA,NA,"CHI",NA,97,NA,NA,"A","L",NA
3,21500003,"NBA",0,2015,2015-10-27,1,0,"GSW",NA,111,NA,NA,NA,"NOP",NA,95,NA,NA,"H","W",NA
3,21500003,"NBA",1,2015,2015-10-27,1,0,"NOP",NA,95,NA,NA,NA,"GSW",NA,111,NA,NA,"A","L",NA
4,21500004,"NBA",0,2015,2015-10-28,1,0,"ORL",NA,87,NA,NA,NA,"WAS",NA,88,NA,NA,"H","L",NA
4,21500004,"NBA",1,2015,2015-10-28,1,0,"WAS",NA,88,NA,NA,NA,"ORL",NA,87,NA,NA,"A","W",NA
5,21500005,"NBA",0,2015,2015-10-28,1,0,"BOS",NA,112,NA,NA,NA,"PHI",NA,95,NA,NA,"H","W",NA
5,21500005,"NBA",1,2015,2015-10-28,1,0,"PHI",NA,95,NA,NA,NA,"BOS",NA,112,NA,NA,"A","L",NA
6,21500006,"NBA",1,2015,2015-10-28,2,0,"CHI",NA,115,NA,NA,NA,"BKN",NA,100,NA,NA,"A","W",NA
6,21500006,"NBA",0,2015,2015-10-28,1,0,"BKN",NA,100,NA,NA,NA,"CHI",NA,115,NA,NA,"H","L",NA
7,21500007,"NBA",0,2015,2015-10-28,2,0,"DET",NA,92,NA,NA,NA,"UTA",NA,87,NA,NA,"H","W",NA
7,21500007,"NBA",1,2015,2015-10-28,1,0,"UTA",NA,87,NA,NA,NA,"DET",NA,92,NA,NA,"A","L",NA
8,21500008,"NBA",0,2015,2015-10-28,1,0,"MIA",NA,104,NA,NA,NA,"CHA",NA,94,NA,NA,"H","W",NA
8,21500008,"NBA",1,2015,2015-10-28,1,0,"CHA",NA,94,NA,NA,NA,"MIA",NA,104,NA,NA,"A","L",NA
9,21500009,"NBA",0,2015,2015-10-28,1,0,"TOR",NA,106,NA,NA,NA,"IND",NA,99,NA,NA,"H","W",NA
9,21500009,"NBA",1,2015,2015-10-28,1,0,"IND",NA,99,NA,NA,NA,"TOR",NA,106,NA,NA,"A","L",NA
10,21500010,"NBA",0,2015,2015-10-28,1,0,"HOU",NA,85,NA,NA,NA,"DEN",NA,105,NA,NA,"H","L",NA
10,21500010,"NBA",1,2015,2015-10-28,1,0,"DEN",NA,105,NA,NA,NA,"HOU",NA,85,NA,NA,"A","W",NA
11,21500011,"NBA",1,2015,2015-10-28,2,0,"CLE",NA,106,NA,NA,NA,"MEM",NA,76,NA,NA,"A","W",NA
11,21500011,"NBA",0,2015,2015-10-28,1,0,"MEM",NA,76,NA,NA,NA,"CLE",NA,106,NA,NA,"H","L",NA
12,21500012,"NBA",0,2015,2015-10-28,1,0,"MIL",NA,97,NA,NA,NA,"NYK",NA,122,NA,NA,"H","L",NA
12,21500012,"NBA",1,2015,2015-10-28,1,0,"NYK",NA,122,NA,NA,NA,"MIL",NA,97,NA,NA,"A","W",NA
13,21500013,"NBA",0,2015,2015-10-28,1,0,"OKC",NA,112,NA,NA,NA,"SAS",NA,106,NA,NA,"H","W",NA
13,21500013,"NBA",1,2015,2015-10-28,1,0,"SAS",NA,106,NA,NA,NA,"OKC",NA,112,NA,NA,"A","L",NA
14,21500014,"NBA",0,2015,2015-10-28,1,0,"PHX",NA,95,NA,NA,NA,"DAL",NA,111,NA,NA,"H","L",NA
14,21500014,"NBA",1,2015,2015-10-28,1,0,"DAL",NA,111,NA,NA,NA,"PHX",NA,95,NA,NA,"A","W",NA
15,21500015,"NBA",1,2015,2015-10-28,2,0,"NOP",NA,94,NA,NA,NA,"POR",NA,112,NA,NA,"A","L",NA
15,21500015,"NBA",0,2015,2015-10-28,1,0,"POR",NA,112,NA,NA,NA,"NOP",NA,94,NA,NA,"H","W",NA
16,21500016,"NBA",0,2015,2015-10-28,1,0,"SAC",NA,104,NA,NA,NA,"LAC",NA,111,NA,NA,"H","L",NA
16,21500016,"NBA",1,2015,2015-10-28,1,0,"LAC",NA,111,NA,NA,NA,"SAC",NA,104,NA,NA,"A","W",NA
17,21500017,"NBA",0,2015,2015-10-28,1,0,"LAL",NA,111,NA,NA,NA,"MIN",NA,112,NA,NA,"H","L",NA
17,21500017,"NBA",1,2015,2015-10-28,1,0,"MIN",NA,112,NA,NA,NA,"LAL",NA,111,NA,NA,"A","W",NA
18,21500018,"NBA",0,2015,2015-10-29,2,0,"IND",NA,103,NA,NA,NA,"MEM",NA,112,NA,NA,"H","L",NA
18,21500018,"NBA",1,2015,2015-10-29,2,0,"MEM",NA,112,NA,NA,NA,"IND",NA,103,NA,NA,"A","W",NA
19,21500019,"NBA",1,2015,2015-10-29,2,0,"ATL",NA,112,NA,NA,NA,"NYK",NA,101,NA,NA,"A","W",NA
19,21500019,"NBA",0,2015,2015-10-29,2,0,"NYK",NA,101,NA,NA,NA,"ATL",NA,112,NA,NA,"H","L",NA
20,21500020,"NBA",1,2015,2015-10-29,2,0,"DAL",NA,88,NA,NA,NA,"LAC",NA,104,NA,NA,"A","L",NA
20,21500020,"NBA",0,2015,2015-10-29,2,0,"LAC",NA,104,NA,NA,NA,"DAL",NA,88,NA,NA,"H","W",NA
21,21500021,"NBA",0,2015,2015-10-30,3,0,"CLE",NA,102,NA,NA,NA,"MIA",NA,92,NA,NA,"H","W",NA
21,21500021,"NBA",1,2015,2015-10-30,2,0,"MIA",NA,92,NA,NA,NA,"CLE",NA,102,NA,NA,"A","L",NA
22,21500022,"NBA",0,2015,2015-10-30,2,0,"ORL",NA,136,NA,NA,NA,"OKC",NA,139,NA,NA,"H","L",NA
22,21500022,"NBA",1,2015,2015-10-30,2,0,"OKC",NA,139,NA,NA,NA,"ORL",NA,136,NA,NA,"A","W",NA
23,21500023,"NBA",0,2015,2015-10-30,2,0,"PHI",NA,71,NA,NA,NA,"UTA",NA,99,NA,NA,"H","L",NA
23,21500023,"NBA",1,2015,2015-10-30,2,0,"UTA",NA,99,NA,NA,NA,"PHI",NA,71,NA,NA,"A","W",NA
24,21500024,"NBA",0,2015,2015-10-30,2,0,"BOS",NA,103,NA,NA,NA,"TOR",NA,113,NA,NA,"H","L",NA
24,21500024,"NBA",1,2015,2015-10-30,2,0,"TOR",NA,113,NA,NA,NA,"BOS",NA,103,NA,NA,"A","W",NA
25,21500025,"NBA",0,2015,2015-10-30,3,0,"DET",NA,98,NA,NA,NA,"CHI",NA,94,NA,NA,"H","W",NA
25,21500025,"NBA",1,2015,2015-10-30,3,0,"CHI",NA,94,NA,NA,NA,"DET",NA,98,NA,NA,"A","L",NA
26,21500026,"NBA",0,2015,2015-10-30,3,0,"ATL",NA,97,NA,NA,NA,"CHA",NA,94,NA,NA,"H","W",NA
26,21500026,"NBA",1,2015,2015-10-30,2,0,"CHA",NA,94,NA,NA,NA,"ATL",NA,97,NA,NA,"A","L",NA
27,21500027,"NBA",1,2015,2015-10-30,2,0,"WAS",NA,118,NA,NA,NA,"MIL",NA,113,NA,NA,"A","W",NA
27,21500027,"NBA",0,2015,2015-10-30,2,0,"MIL",NA,113,NA,NA,NA,"WAS",NA,118,NA,NA,"H","L",NA
28,21500028,"NBA",1,2015,2015-10-30,2,0,"BKN",NA,75,NA,NA,NA,"SAS",NA,102,NA,NA,"A","L",NA
28,21500028,"NBA",0,2015,2015-10-30,2,0,"SAS",NA,102,NA,NA,NA,"BKN",NA,75,NA,NA,"H","W",NA
29,21500029,"NBA",0,2015,2015-10-30,2,0,"DEN",NA,78,NA,NA,NA,"MIN",NA,95,NA,NA,"H","L",NA
29,21500029,"NBA",1,2015,2015-10-30,2,0,"MIN",NA,95,NA,NA,NA,"DEN",NA,78,NA,NA,"A","W",NA
30,21500030,"NBA",1,2015,2015-10-30,2,0,"GSW",NA,112,NA,NA,NA,"HOU",NA,92,NA,NA,"A","W",NA
30,21500030,"NBA",0,2015,2015-10-30,2,0,"HOU",NA,92,NA,NA,NA,"GSW",NA,112,NA,NA,"H","L",NA
31,21500031,"NBA",0,2015,2015-10-30,2,0,"SAC",NA,132,NA,NA,NA,"LAL",NA,114,NA,NA,"H","W",NA
31,21500031,"NBA",1,2015,2015-10-30,2,0,"LAL",NA,114,NA,NA,NA,"SAC",NA,132,NA,NA,"A","L",NA
32,21500032,"NBA",0,2015,2015-10-30,2,0,"PHX",NA,110,NA,NA,NA,"POR",NA,92,NA,NA,"H","W",NA
32,21500032,"NBA",1,2015,2015-10-30,2,0,"POR",NA,92,NA,NA,NA,"PHX",NA,110,NA,NA,"A","L",NA
33,21500033,"NBA",1,2015,2015-10-31,3,0,"UTA",NA,97,NA,NA,NA,"IND",NA,76,NA,NA,"A","W",NA
33,21500033,"NBA",0,2015,2015-10-31,3,0,"IND",NA,76,NA,NA,NA,"UTA",NA,97,NA,NA,"H","L",NA
34,21500034,"NBA",0,2015,2015-10-31,3,0,"WAS",NA,110,NA,NA,NA,"NYK",NA,117,NA,NA,"H","L",NA
34,21500034,"NBA",1,2015,2015-10-31,3,0,"NYK",NA,117,NA,NA,NA,"WAS",NA,110,NA,NA,"A","W",NA
35,21500035,"NBA",1,2015,2015-10-31,3,0,"GSW",NA,134,NA,NA,NA,"NOP",NA,120,NA,NA,"A","W",NA
35,21500035,"NBA",0,2015,2015-10-31,3,0,"NOP",NA,120,NA,NA,NA,"GSW",NA,134,NA,NA,"H","L",NA
36,21500036,"NBA",1,2015,2015-10-31,3,0,"BKN",NA,91,NA,NA,NA,"MEM",NA,101,NA,NA,"A","L",NA
36,21500036,"NBA",0,2015,2015-10-31,3,0,"MEM",NA,101,NA,NA,NA,"BKN",NA,91,NA,NA,"H","W",NA
37,21500037,"NBA",1,2015,2015-10-31,3,0,"PHX",NA,101,NA,NA,NA,"POR",NA,90,NA,NA,"A","W",NA
37,21500037,"NBA",0,2015,2015-10-31,3,0,"POR",NA,90,NA,NA,NA,"PHX",NA,101,NA,NA,"H","L",NA
38,21500038,"NBA",1,2015,2015-10-31,3,0,"SAC",NA,109,NA,NA,NA,"LAC",NA,114,NA,NA,"A","L",NA
38,21500038,"NBA",0,2015,2015-10-31,3,0,"LAC",NA,114,NA,NA,NA,"SAC",NA,109,NA,NA,"H","W",NA
39,21500039,"NBA",1,2015,2015-11-01,4,0,"ATL",NA,94,NA,NA,NA,"CHA",NA,92,NA,NA,"A","W",NA
39,21500039,"NBA",0,2015,2015-11-01,3,0,"CHA",NA,92,NA,NA,NA,"ATL",NA,94,NA,NA,"H","L",NA
40,21500040,"NBA",0,2015,2015-11-01,3,0,"BOS",NA,87,NA,NA,NA,"SAS",NA,95,NA,NA,"H","L",NA
40,21500040,"NBA",1,2015,2015-11-01,3,0,"SAS",NA,95,NA,NA,NA,"BOS",NA,87,NA,NA,"A","W",NA
41,21500041,"NBA",0,2015,2015-11-01,3,0,"MIA",NA,109,NA,NA,NA,"HOU",NA,89,NA,NA,"H","W",NA
41,21500041,"NBA",1,2015,2015-11-01,3,0,"HOU",NA,89,NA,NA,NA,"MIA",NA,109,NA,NA,"A","L",NA
42,21500042,"NBA",0,2015,2015-11-01,3,0,"TOR",NA,106,NA,NA,NA,"MIL",NA,87,NA,NA,"H","W",NA
42,21500042,"NBA",1,2015,2015-11-01,3,0,"MIL",NA,87,NA,NA,NA,"TOR",NA,106,NA,NA,"A","L",NA
43,21500043,"NBA",0,2015,2015-11-01,4,0,"CHI",NA,92,NA,NA,NA,"ORL",NA,87,NA,NA,"H","W",NA
43,21500043,"NBA",1,2015,2015-11-01,3,0,"ORL",NA,87,NA,NA,NA,"CHI",NA,92,NA,NA,"A","L",NA
44,21500044,"NBA",1,2015,2015-11-01,3,0,"DEN",NA,93,NA,NA,NA,"OKC",NA,117,NA,NA,"A","L",NA
44,21500044,"NBA",0,2015,2015-11-01,3,0,"OKC",NA,117,NA,NA,NA,"DEN",NA,93,NA,NA,"H","W",NA
45,21500045,"NBA",1,2015,2015-11-01,3,0,"DAL",NA,103,NA,NA,NA,"LAL",NA,93,NA,NA,"A","W",NA
45,21500045,"NBA",0,2015,2015-11-01,3,0,"LAL",NA,93,NA,NA,NA,"DAL",NA,103,NA,NA,"H","L",NA
46,21500046,"NBA",1,2015,2015-11-02,4,0,"CLE",NA,107,NA,NA,NA,"PHI",NA,100,NA,NA,"A","W",NA
46,21500046,"NBA",0,2015,2015-11-02,3,0,"PHI",NA,100,NA,NA,NA,"CLE",NA,107,NA,NA,"H","L",NA
47,21500047,"NBA",0,2015,2015-11-02,4,0,"BKN",NA,96,NA,NA,NA,"MIL",NA,103,NA,NA,"H","L",NA
47,21500047,"NBA",1,2015,2015-11-02,4,0,"MIL",NA,103,NA,NA,NA,"BKN",NA,96,NA,NA,"A","W",NA
48,21500048,"NBA",0,2015,2015-11-02,4,0,"NYK",NA,84,NA,NA,NA,"SAS",NA,94,NA,NA,"H","L",NA
48,21500048,"NBA",1,2015,2015-11-02,4,0,"SAS",NA,94,NA,NA,NA,"NYK",NA,84,NA,NA,"A","W",NA
49,21500049,"NBA",0,2015,2015-11-02,4,0,"HOU",NA,110,NA,NA,NA,"OKC",NA,105,NA,NA,"H","W",NA
49,21500049,"NBA",1,2015,2015-11-02,4,0,"OKC",NA,105,NA,NA,NA,"HOU",NA,110,NA,NA,"A","L",NA
50,21500050,"NBA",1,2015,2015-11-02,4,0,"POR",NA,106,NA,NA,NA,"MIN",NA,101,NA,NA,"A","W",NA
50,21500050,"NBA",0,2015,2015-11-02,3,0,"MIN",NA,101,NA,NA,NA,"POR",NA,106,NA,NA,"H","L",NA
51,21500051,"NBA",0,2015,2015-11-02,4,0,"GSW",NA,119,NA,NA,NA,"MEM",NA,69,NA,NA,"H","W",NA
51,21500051,"NBA",1,2015,2015-11-02,4,0,"MEM",NA,69,NA,NA,NA,"GSW",NA,119,NA,NA,"A","L",NA
52,21500052,"NBA",1,2015,2015-11-02,4,0,"PHX",NA,96,NA,NA,NA,"LAC",NA,102,NA,NA,"A","L",NA
52,21500052,"NBA",0,2015,2015-11-02,4,0,"LAC",NA,102,NA,NA,NA,"PHX",NA,96,NA,NA,"H","W",NA
53,21500053,"NBA",1,2015,2015-11-03,5,0,"CHI",NA,105,NA,NA,NA,"CHA",NA,130,NA,NA,"A","L",NA
53,21500053,"NBA",0,2015,2015-11-03,4,0,"CHA",NA,130,NA,NA,NA,"CHI",NA,105,NA,NA,"H","W",NA
54,21500054,"NBA",0,2015,2015-11-03,4,0,"DET",NA,82,NA,NA,NA,"IND",NA,94,NA,NA,"H","L",NA
54,21500054,"NBA",1,2015,2015-11-03,4,0,"IND",NA,94,NA,NA,NA,"DET",NA,82,NA,NA,"A","W",NA
55,21500055,"NBA",1,2015,2015-11-03,5,0,"ATL",NA,98,NA,NA,NA,"MIA",NA,92,NA,NA,"A","W",NA
55,21500055,"NBA",0,2015,2015-11-03,4,0,"MIA",NA,92,NA,NA,NA,"ATL",NA,98,NA,NA,"H","L",NA
56,21500056,"NBA",0,2015,2015-11-03,4,0,"NOP",NA,94,NA,NA,NA,"ORL",NA,103,NA,NA,"H","L",NA
56,21500056,"NBA",1,2015,2015-11-03,4,0,"ORL",NA,103,NA,NA,NA,"NOP",NA,94,NA,NA,"A","W",NA
57,21500057,"NBA",1,2015,2015-11-03,4,0,"TOR",NA,102,NA,NA,NA,"DAL",NA,91,NA,NA,"A","W",NA
57,21500057,"NBA",0,2015,2015-11-03,4,0,"DAL",NA,91,NA,NA,NA,"TOR",NA,102,NA,NA,"H","L",NA
58,21500058,"NBA",1,2015,2015-11-03,5,0,"MEM",NA,103,NA,NA,NA,"SAC",NA,89,NA,NA,"A","W",NA
58,21500058,"NBA",0,2015,2015-11-03,4,0,"SAC",NA,89,NA,NA,NA,"MEM",NA,103,NA,NA,"H","L",NA
59,21500059,"NBA",1,2015,2015-11-03,4,0,"DEN",NA,120,NA,NA,NA,"LAL",NA,109,NA,NA,"A","W",NA
59,21500059,"NBA",0,2015,2015-11-03,4,0,"LAL",NA,109,NA,NA,NA,"DEN",NA,120,NA,NA,"H","L",NA
60,21500060,"NBA",1,2015,2015-11-04,4,0,"BOS",NA,98,NA,NA,NA,"IND",NA,100,NA,NA,"A","L",NA
60,21500060,"NBA",0,2015,2015-11-04,5,0,"IND",NA,100,NA,NA,NA,"BOS",NA,98,NA,NA,"H","W",NA
61,21500061,"NBA",0,2015,2015-11-04,4,0,"WAS",NA,102,NA,NA,NA,"SAS",NA,99,NA,NA,"H","W",NA
61,21500061,"NBA",1,2015,2015-11-04,5,0,"SAS",NA,99,NA,NA,NA,"WAS",NA,102,NA,NA,"A","L",NA
62,21500062,"NBA",0,2015,2015-11-04,6,0,"ATL",NA,101,NA,NA,NA,"BKN",NA,87,NA,NA,"H","W",NA
62,21500062,"NBA",1,2015,2015-11-04,5,0,"BKN",NA,87,NA,NA,NA,"ATL",NA,101,NA,NA,"A","L",NA
63,21500063,"NBA",0,2015,2015-11-04,5,0,"CLE",NA,96,NA,NA,NA,"NYK",NA,86,NA,NA,"H","W",NA
63,21500063,"NBA",1,2015,2015-11-04,5,0,"NYK",NA,86,NA,NA,NA,"CLE",NA,96,NA,NA,"A","L",NA
64,21500064,"NBA",1,2015,2015-11-04,5,0,"ORL",NA,114,NA,NA,NA,"HOU",NA,119,NA,NA,"A","L",NA
64,21500064,"NBA",0,2015,2015-11-04,5,0,"HOU",NA,119,NA,NA,NA,"ORL",NA,114,NA,NA,"H","W",NA
65,21500065,"NBA",1,2015,2015-11-04,4,0,"PHI",NA,87,NA,NA,NA,"MIL",NA,91,NA,NA,"A","L",NA
65,21500065,"NBA",0,2015,2015-11-04,5,0,"MIL",NA,91,NA,NA,NA,"PHI",NA,87,NA,NA,"H","W",NA
66,21500066,"NBA",1,2015,2015-11-04,5,0,"TOR",NA,103,NA,NA,NA,"OKC",NA,98,NA,NA,"A","W",NA
66,21500066,"NBA",0,2015,2015-11-04,5,0,"OKC",NA,98,NA,NA,NA,"TOR",NA,103,NA,NA,"H","L",NA
67,21500067,"NBA",0,2015,2015-11-04,5,0,"PHX",NA,118,NA,NA,NA,"SAC",NA,97,NA,NA,"H","W",NA
67,21500067,"NBA",1,2015,2015-11-04,5,0,"SAC",NA,97,NA,NA,NA,"PHX",NA,118,NA,NA,"A","L",NA
68,21500068,"NBA",0,2015,2015-11-04,4,0,"UTA",NA,92,NA,NA,NA,"POR",NA,108,NA,NA,"H","L",NA
68,21500068,"NBA",1,2015,2015-11-04,5,0,"POR",NA,108,NA,NA,NA,"UTA",NA,92,NA,NA,"A","W",NA
69,21500069,"NBA",0,2015,2015-11-04,5,0,"GSW",NA,112,NA,NA,NA,"LAC",NA,108,NA,NA,"H","W",NA
69,21500069,"NBA",1,2015,2015-11-04,5,0,"LAC",NA,108,NA,NA,NA,"GSW",NA,112,NA,NA,"A","L",NA
70,21500070,"NBA",0,2015,2015-11-05,6,0,"CHI",NA,104,NA,NA,NA,"OKC",NA,98,NA,NA,"H","W",NA
70,21500070,"NBA",1,2015,2015-11-05,6,0,"OKC",NA,98,NA,NA,NA,"CHI",NA,104,NA,NA,"A","L",NA
71,21500071,"NBA",1,2015,2015-11-05,5,0,"MIA",NA,96,NA,NA,NA,"MIN",NA,84,NA,NA,"A","W",NA
71,21500071,"NBA",0,2015,2015-11-05,4,0,"MIN",NA,84,NA,NA,NA,"MIA",NA,96,NA,NA,"H","L",NA
72,21500072,"NBA",1,2015,2015-11-05,5,0,"CHA",NA,108,NA,NA,NA,"DAL",NA,94,NA,NA,"A","W",NA
72,21500072,"NBA",0,2015,2015-11-05,5,0,"DAL",NA,94,NA,NA,NA,"CHA",NA,108,NA,NA,"H","L",NA
73,21500073,"NBA",1,2015,2015-11-05,5,0,"UTA",NA,96,NA,NA,NA,"DEN",NA,84,NA,NA,"A","W",NA
73,21500073,"NBA",0,2015,2015-11-05,5,0,"DEN",NA,84,NA,NA,NA,"UTA",NA,96,NA,NA,"H","L",NA
74,21500074,"NBA",1,2015,2015-11-05,6,0,"MEM",NA,96,NA,NA,NA,"POR",NA,115,NA,NA,"A","L",NA
74,21500074,"NBA",0,2015,2015-11-05,6,0,"POR",NA,115,NA,NA,NA,"MEM",NA,96,NA,NA,"H","W",NA
75,21500075,"NBA",0,2015,2015-11-06,6,0,"ORL",NA,92,NA,NA,NA,"TOR",NA,87,NA,NA,"H","W",NA
75,21500075,"NBA",1,2015,2015-11-06,6,0,"TOR",NA,87,NA,NA,NA,"ORL",NA,92,NA,NA,"A","L",NA
76,21500076,"NBA",1,2015,2015-11-06,5,0,"WAS",NA,98,NA,NA,NA,"BOS",NA,118,NA,NA,"A","L",NA
76,21500076,"NBA",0,2015,2015-11-06,5,0,"BOS",NA,118,NA,NA,NA,"WAS",NA,98,NA,NA,"H","W",NA
77,21500077,"NBA",0,2015,2015-11-06,6,0,"BKN",NA,98,NA,NA,NA,"LAL",NA,104,NA,NA,"H","L",NA
77,21500077,"NBA",1,2015,2015-11-06,5,0,"LAL",NA,104,NA,NA,NA,"BKN",NA,98,NA,NA,"A","W",NA
78,21500078,"NBA",0,2015,2015-11-06,6,0,"CLE",NA,108,NA,NA,NA,"PHI",NA,102,NA,NA,"H","W",NA
78,21500078,"NBA",1,2015,2015-11-06,5,0,"PHI",NA,102,NA,NA,NA,"CLE",NA,108,NA,NA,"A","L",NA
79,21500079,"NBA",1,2015,2015-11-06,6,0,"MIL",NA,99,NA,NA,NA,"NYK",NA,92,NA,NA,"A","W",NA
79,21500079,"NBA",0,2015,2015-11-06,6,0,"NYK",NA,92,NA,NA,NA,"MIL",NA,99,NA,NA,"H","L",NA
80,21500080,"NBA",1,2015,2015-11-06,6,0,"MIA",NA,87,NA,NA,NA,"IND",NA,90,NA,NA,"A","L",NA
80,21500080,"NBA",0,2015,2015-11-06,6,0,"IND",NA,90,NA,NA,NA,"MIA",NA,87,NA,NA,"H","W",NA
81,21500081,"NBA",1,2015,2015-11-06,7,0,"ATL",NA,121,NA,NA,NA,"NOP",NA,115,NA,NA,"A","W",NA
81,21500081,"NBA",0,2015,2015-11-06,5,0,"NOP",NA,115,NA,NA,NA,"ATL",NA,121,NA,NA,"H","L",NA
82,21500082,"NBA",1,2015,2015-11-06,5,0,"DET",NA,100,NA,NA,NA,"PHX",NA,92,NA,NA,"A","W",NA
82,21500082,"NBA",0,2015,2015-11-06,6,0,"PHX",NA,92,NA,NA,NA,"DET",NA,100,NA,NA,"H","L",NA
83,21500083,"NBA",0,2015,2015-11-06,6,0,"GSW",NA,119,NA,NA,NA,"DEN",NA,104,NA,NA,"H","W",NA
83,21500083,"NBA",1,2015,2015-11-06,6,0,"DEN",NA,104,NA,NA,NA,"GSW",NA,119,NA,NA,"A","L",NA
84,21500084,"NBA",1,2015,2015-11-06,6,0,"HOU",NA,116,NA,NA,NA,"SAC",NA,110,NA,NA,"A","W",NA
84,21500084,"NBA",0,2015,2015-11-06,6,0,"SAC",NA,110,NA,NA,NA,"HOU",NA,116,NA,NA,"H","L",NA
85,21500085,"NBA",0,2015,2015-11-07,7,0,"CHI",NA,93,NA,NA,NA,"MIN",NA,102,NA,NA,"H","L",NA
85,21500085,"NBA",1,2015,2015-11-07,5,0,"MIN",NA,102,NA,NA,NA,"CHI",NA,93,NA,NA,"A","W",NA
86,21500086,"NBA",0,2015,2015-11-07,8,0,"ATL",NA,114,NA,NA,NA,"WAS",NA,99,NA,NA,"H","W",NA
86,21500086,"NBA",1,2015,2015-11-07,6,0,"WAS",NA,99,NA,NA,NA,"ATL",NA,114,NA,NA,"A","L",NA
87,21500087,"NBA",1,2015,2015-11-07,7,0,"ORL",NA,105,NA,NA,NA,"PHI",NA,97,NA,NA,"A","W",NA
87,21500087,"NBA",0,2015,2015-11-07,6,0,"PHI",NA,97,NA,NA,NA,"ORL",NA,105,NA,NA,"H","L",NA
88,21500088,"NBA",1,2015,2015-11-07,6,0,"NOP",NA,98,NA,NA,NA,"DAL",NA,107,NA,NA,"A","L",NA
88,21500088,"NBA",0,2015,2015-11-07,6,0,"DAL",NA,107,NA,NA,NA,"NOP",NA,98,NA,NA,"H","W",NA
89,21500089,"NBA",1,2015,2015-11-07,7,0,"BKN",NA,86,NA,NA,NA,"MIL",NA,94,NA,NA,"A","L",NA
89,21500089,"NBA",0,2015,2015-11-07,7,0,"MIL",NA,94,NA,NA,NA,"BKN",NA,86,NA,NA,"H","W",NA
90,21500090,"NBA",1,2015,2015-11-07,6,0,"CHA",NA,94,NA,NA,NA,"SAS",NA,114,NA,NA,"A","L",NA
90,21500090,"NBA",0,2015,2015-11-07,6,0,"SAS",NA,114,NA,NA,NA,"CHA",NA,94,NA,NA,"H","W",NA
91,21500091,"NBA",0,2015,2015-11-07,6,0,"UTA",NA,89,NA,NA,NA,"MEM",NA,79,NA,NA,"H","W",NA
91,21500091,"NBA",1,2015,2015-11-07,7,0,"MEM",NA,79,NA,NA,NA,"UTA",NA,89,NA,NA,"A","L",NA
92,21500092,"NBA",1,2015,2015-11-07,7,0,"GSW",NA,103,NA,NA,NA,"SAC",NA,94,NA,NA,"A","W",NA
92,21500092,"NBA",0,2015,2015-11-07,7,0,"SAC",NA,94,NA,NA,NA,"GSW",NA,103,NA,NA,"H","L",NA
93,21500093,"NBA",1,2015,2015-11-07,7,0,"HOU",NA,109,NA,NA,NA,"LAC",NA,105,NA,NA,"A","W",NA
93,21500093,"NBA",0,2015,2015-11-07,6,0,"LAC",NA,105,NA,NA,NA,"HOU",NA,109,NA,NA,"H","L",NA
94,21500094,"NBA",0,2015,2015-11-08,7,0,"CLE",NA,101,NA,NA,NA,"IND",NA,97,NA,NA,"H","W",NA
94,21500094,"NBA",1,2015,2015-11-08,7,0,"IND",NA,97,NA,NA,NA,"CLE",NA,101,NA,NA,"A","L",NA
95,21500095,"NBA",0,2015,2015-11-08,7,0,"NYK",NA,99,NA,NA,NA,"LAL",NA,95,NA,NA,"H","W",NA
95,21500095,"NBA",1,2015,2015-11-08,6,0,"LAL",NA,95,NA,NA,NA,"NYK",NA,99,NA,NA,"A","L",NA
96,21500096,"NBA",0,2015,2015-11-08,7,0,"MIA",NA,96,NA,NA,NA,"TOR",NA,76,NA,NA,"H","W",NA
96,21500096,"NBA",1,2015,2015-11-08,7,0,"TOR",NA,76,NA,NA,NA,"MIA",NA,96,NA,NA,"A","L",NA
97,21500097,"NBA",0,2015,2015-11-08,7,0,"OKC",NA,124,NA,NA,NA,"PHX",NA,103,NA,NA,"H","W",NA
97,21500097,"NBA",1,2015,2015-11-08,7,0,"PHX",NA,103,NA,NA,NA,"OKC",NA,124,NA,NA,"A","L",NA
98,21500098,"NBA",1,2015,2015-11-08,6,0,"DET",NA,120,NA,NA,NA,"POR",NA,103,NA,NA,"A","W",NA
98,21500098,"NBA",0,2015,2015-11-08,7,0,"POR",NA,103,NA,NA,NA,"DET",NA,120,NA,NA,"H","L",NA
99,21500099,"NBA",1,2015,2015-11-09,8,0,"ORL",NA,84,NA,NA,NA,"IND",NA,97,NA,NA,"A","L",NA
99,21500099,"NBA",0,2015,2015-11-09,8,0,"IND",NA,97,NA,NA,NA,"ORL",NA,84,NA,NA,"H","W",NA
